feature,value,precision,recall,fbeta_score
workclass,State-gov,0.8006644518272426,0.7005813953488372,0.7472868217054263
workclass,Self-emp-not-inc,0.7546468401486989,0.5686274509803921,0.6485623003194888
workclass,Private,0.8260173021467478,0.5287120590648072,0.6447417781668124
workclass,Federal-gov,0.8471615720524017,0.5315068493150685,0.6531986531986532
workclass,Local-gov,0.7638603696098563,0.6108374384236454,0.6788321167883211
workclass,Self-emp-inc,0.8653061224489796,0.7066666666666667,0.7779816513761468
workclass,Without-pay,1.0,1.0,1.0
education,Bachelors,0.7413862991487636,0.8603010348071496,0.796429349009362
education,HS-grad,0.9823529411764705,0.20655534941249226,0.341338783852836
education,11th,1.0,0.288135593220339,0.4473684210526315
education,Masters,0.8195718654434251,0.8758169934640523,0.8467614533965244
education,9th,1.0,0.08,0.14814814814814814
education,Some-college,0.9318181818181818,0.27619760479041916,0.42609699769053117
education,Assoc-acdm,0.9238095238095239,0.37890625,0.5373961218836565
education,7th-8th,1.0,0.11428571428571428,0.20512820512820512
education,Doctorate,0.8650519031141869,0.8928571428571429,0.8787346221441126
education,Assoc-voc,0.9545454545454546,0.30523255813953487,0.46255506607929514
education,Prof-school,0.8827586206896552,0.9458128078817734,0.9131985731272295
education,5th-6th,1.0,0.3333333333333333,0.5
education,10th,1.0,0.13559322033898305,0.23880597014925373
education,Preschool,1.0,1.0,1.0
education,12th,1.0,0.20689655172413793,0.34285714285714286
education,1st-4th,1.0,0.3333333333333333,0.5
marital-status,Never-married,1.0,0.32978723404255317,0.496
marital-status,Married-civ-spouse,0.8026616760241214,0.6032192530082825,0.6887937187723054
marital-status,Divorced,0.9859154929577465,0.30973451327433627,0.47138047138047134
marital-status,Married-spouse-absent,1.0,0.3548387096774194,0.5238095238095238
marital-status,Separated,1.0,0.3484848484848485,0.5168539325842696
marital-status,Married-AF-spouse,1.0,0.2,0.33333333333333337
marital-status,Widowed,1.0,0.3,0.4615384615384615
occupation,Adm-clerical,0.7702127659574468,0.3634538152610442,0.4938608458390178
occupation,Exec-managerial,0.850909090909091,0.7248322147651006,0.7828268748257596
occupation,Handlers-cleaners,0.6774193548387096,0.25301204819277107,0.368421052631579
occupation,Prof-specialty,0.8050704225352112,0.7890668139149641,0.7969882877858337
occupation,Other-service,0.9583333333333334,0.17424242424242425,0.29487179487179493
occupation,Sales,0.7809239940387481,0.5402061855670103,0.6386349786715417
occupation,Transport-moving,0.8041237113402062,0.2445141065830721,0.375
occupation,Farming-fishing,0.8947368421052632,0.4434782608695652,0.5930232558139534
occupation,Machine-op-inspct,0.7971014492753623,0.22448979591836735,0.3503184713375796
occupation,Tech-support,0.8285714285714286,0.4172661870503597,0.5550239234449761
occupation,Craft-repair,0.7932098765432098,0.2830396475770925,0.4172077922077922
occupation,Protective-serv,0.8131868131868132,0.3523809523809524,0.4916943521594684
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Priv-house-serv,1.0,1.0,1.0
relationship,Not-in-family,0.996309963099631,0.32806804374240583,0.4936014625228519
relationship,Husband,0.7969683050068902,0.611023067441451,0.6917173328017543
relationship,Wife,0.8555555555555555,0.5547550432276657,0.673076923076923
relationship,Own-child,1.0,0.28125,0.43902439024390244
relationship,Unmarried,0.9846153846153847,0.3004694835680751,0.4604316546762591
relationship,Other-relative,1.0,0.22857142857142856,0.3720930232558139
race,White,0.8166031342651419,0.5638251206316713,0.6670703226364502
race,Black,0.8673469387755102,0.4644808743169399,0.6049822064056939
race,Asian-Pac-Islander,0.75,0.6532258064516129,0.6982758620689654
race,Amer-Indian-Eskimo,0.8947368421052632,0.5,0.6415094339622641
race,Other,0.7692307692307693,0.47619047619047616,0.588235294117647
sex,Male,0.8068033144352377,0.5784865540963102,0.6738299034784193
sex,Female,0.8879310344827587,0.4631294964028777,0.6087470449172577
native-country,United-States,0.8198444397729662,0.557541100786276,0.6637168141592921
native-country,Cuba,0.8666666666666667,0.52,0.65
native-country,Jamaica,0.5,0.2,0.28571428571428575
native-country,India,0.6875,0.825,0.75
native-country,Mexico,0.9230769230769231,0.36363636363636365,0.5217391304347827
native-country,Puerto-Rico,0.7777777777777778,0.5833333333333334,0.6666666666666666
native-country,Honduras,1.0,1.0,1.0
native-country,England,0.76,0.6333333333333333,0.6909090909090909
native-country,Canada,0.7307692307692307,0.5277777777777778,0.6129032258064515
native-country,Germany,0.8333333333333334,0.5681818181818182,0.6756756756756758
native-country,Iran,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,Philippines,0.8297872340425532,0.65,0.7289719626168223
native-country,Poland,0.6666666666666666,0.5454545454545454,0.6
native-country,Columbia,0.5,1.0,0.6666666666666666
native-country,Cambodia,1.0,0.2857142857142857,0.4444444444444445
native-country,Thailand,1.0,0.3333333333333333,0.5
native-country,Ecuador,0.6666666666666666,0.5,0.5714285714285715
native-country,Laos,1.0,0.5,0.6666666666666666
native-country,Taiwan,0.8421052631578947,0.8421052631578947,0.8421052631578947
native-country,Haiti,1.0,0.5,0.6666666666666666
native-country,Portugal,1.0,0.25,0.4
native-country,Dominican-Republic,0.5,0.5,0.5
native-country,El-Salvador,1.0,0.7777777777777778,0.8750000000000001
native-country,France,0.8181818181818182,0.75,0.7826086956521738
native-country,Guatemala,1.0,0.3333333333333333,0.5
native-country,Italy,0.8571428571428571,0.5,0.631578947368421
native-country,China,0.7391304347826086,0.85,0.7906976744186046
native-country,South,0.5294117647058824,0.6428571428571429,0.5806451612903226
native-country,Japan,0.7727272727272727,0.7391304347826086,0.7555555555555555
